"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"SULT2B1",2.26832386683903,3.00667011370708,88.4924148477249,5.10301789156553e-21,4.16162510806496e-19
"HPGDS",1.93269321539679,1.15307341382757,88.411143841128,5.31704221987017e-21,4.27682714521652e-19
"CXCL17",3.22716664320634,3.98808823937023,88.4058511231814,5.33128781628412e-21,4.27682714521652e-19
"VGLL1",3.86071761648345,0.957101021076994,88.0870874908317,6.26351765133816e-21,5.00338282894182e-19
"ALOX5AP",1.99545479396899,4.14876122702025,87.9109142353079,6.84698233714561e-21,5.4463844312181e-19
"MYO1G",2.70079038214261,5.3968227022933,87.2338541139309,9.64191929691811e-21,7.54230135209544e-19
"IL1F5",2.45914436470079,0.590081873733412,87.1154934880435,1.02365496992903e-20,7.97435681533141e-19
"OBFC2A",1.76750149902984,2.85193769429494,86.7055333004022,1.25943946262047e-20,9.77076244828031e-19
"CTSK",2.08439814415322,4.9779206854195,86.3962516127337,1.47263780094089e-20,1.13779376325154e-18
"GOLGA7B",2.14399967274822,3.37364998773406,86.3564147866073,1.50260335586193e-20,1.15620728427384e-18
"MST1R",1.66825542067492,3.82542819413934,86.2768610056582,1.56428176607884e-20,1.19877397780969e-18
"UPP1",1.56405611394541,5.67685613461416,86.0505632509099,1.75393177557357e-20,1.33327104165778e-18
"FAM176A",2.17108113574576,4.21440740400329,86.0253803011988,1.77641022399276e-20,1.34493516235789e-18
"SDR16C5",3.66920626954281,0.637883914396749,86.0109622339036,1.78940935772283e-20,1.34935780847163e-18
"SPOCD1",2.73166189572759,1.63485251456893,85.967039682026,1.82959869108452e-20,1.3714369874164e-18
"OSMR",1.76855202493401,4.6087405271733,85.963109546867,1.83323849368201e-20,1.3714369874164e-18
"XKR4",3.35858766212146,-1.61108450871931,85.7572717951167,2.0343476566675e-20,1.50398125582336e-18
"CFH",2.05092583218817,7.20056874161056,85.5641255764486,2.24308197309309e-20,1.65181958424808e-18
"TNFSF11",3.19185046457529,0.157274211050079,85.5465946403948,2.26305677986753e-20,1.66004460755107e-18
"CRLF2",3.93507243010525,-0.34717262650265,85.4544881023479,2.37096355802569e-20,1.73245755798063e-18
"PADI1",3.53698639581074,-1.83705756595326,85.3922913186686,2.44672602737174e-20,1.77406457953892e-18
"IGFL2",3.87555119453211,3.03376129081323,85.2676685421334,2.6058951740354e-20,1.87062733307722e-18
"LPPR1",3.52244033684312,-1.38183172915255,85.2507593594504,2.62827518366522e-20,1.87682741524457e-18
"SLC34A2",3.1082937390962,11.4989269308827,84.7620135756356,3.36528109943215e-20,2.39404827496207e-18
"CLEC4F",2.56045691833,-0.838199920112761,84.6368432163317,3.58521729997895e-20,2.52195957235833e-18
